2023-04-26 00:35:32,599 [RMI TCP Connection(122)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
2023-04-26 00:35:35,121 [RMI TCP Connection(122)-127.0.0.1] INFO  o.apache.coyote.http11.Http11NioProtocol           - Pausing ProtocolHandler ["https-jsse-nio-8585"]
2023-04-26 00:35:35,129 [RMI TCP Connection(122)-127.0.0.1] INFO  org.apache.catalina.core.StandardService           - Stopping service [Tomcat]
2023-04-26 00:35:35,237 [RMI TCP Connection(122)-127.0.0.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/]                 - Destroying Spring FrameworkServlet 'dispatcherServlet'
2023-04-26 00:35:35,418 [RMI TCP Connection(122)-127.0.0.1] INFO  o.apache.coyote.http11.Http11NioProtocol           - Stopping ProtocolHandler ["https-jsse-nio-8585"]
2023-04-26 00:35:35,550 [RMI TCP Connection(122)-127.0.0.1] INFO  o.apache.coyote.http11.Http11NioProtocol           - Destroying ProtocolHandler ["https-jsse-nio-8585"]
2023-04-26 00:35:36,174 [RMI TCP Connection(122)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-04-26 00:35:36,574 [RMI TCP Connection(122)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource                 - HikariPool-1 - Shutdown initiated...
2023-04-26 00:35:36,589 [RMI TCP Connection(122)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource                 - HikariPool-1 - Shutdown completed.
2023-04-26 08:58:17,547 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper        - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.hdfc.capstone.EmployeeDetailsManagementApplicationTests], using SpringBootContextLoader
2023-04-26 08:58:17,584 [Test worker] INFO  o.s.t.c.support.AbstractContextLoader              - Could not detect default resource locations for test class [com.hdfc.capstone.EmployeeDetailsManagementApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-04-26 08:58:17,586 [Test worker] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils       - Could not detect default configuration classes for test class [com.hdfc.capstone.EmployeeDetailsManagementApplicationTests]: EmployeeDetailsManagementApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-04-26 08:58:17,822 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper        - Found @SpringBootConfiguration com.hdfc.capstone.EmployeeDetailsManagementApplication for test class com.hdfc.capstone.EmployeeDetailsManagementApplicationTests
2023-04-26 08:58:18,004 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper        - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
